Date,MSFT: Quarterly Long Term Debt,MSFT: Quarterly Shareholders Equity,MSFT: Quarterly Free Cash Flow,MSFT: Quarterly Cash & Cash Equivalents,MSFT: Quarterly EPS,MSFT: EV/EBITDA
2005-12-31,0,44208000000,1913000000,34701000000,0.34,
2006-01-16,,,,,,13.79
2006-01-20,,,,,,13.34
2006-01-27,,,,,,14.06
2006-02-03,,,,,,13.92
2006-02-10,,,,,,13.43
2006-02-17,,,,,,13.43
2006-02-24,,,,,,13.39
2006-03-03,,,,,,13.57
2006-03-10,,,,,,13.7
2006-03-17,,,,,,13.89
2006-03-24,,,,,,13.61
2006-03-31,0,42038000000,4261000000,34816000000,0.29,13.49
2006-04-07,,,,,,13.52
2006-04-14,,,,,,13.41
2006-04-21,,,,,,13.46
2006-04-28,,,,,,11.73
2006-05-05,,,,,,11.53
2006-05-12,,,,,,11.17
2006-05-19,,,,,,10.83
2006-05-26,,,,,,11.48
2006-06-02,,,,,,10.94
2006-06-09,,,,,,10.47
2006-06-16,,,,,,10.57
2006-06-23,,,,,,10.79
2006-06-30,0,40104000000,2536000000,34161000000,0.28,10.8
2006-07-07,,,,,,10.8
2006-07-14,,,,,,10.25
2006-07-21,,,,,,11.11
2006-07-28,,,,,,11.32
2006-08-04,,,,,,11.34
2006-08-11,,,,,,11.42
2006-08-18,,,,,,12.03
2006-08-25,,,,,,12.06
2006-09-01,,,,,,12.05
2006-09-08,,,,,,11.92
2006-09-15,,,,,,12.6
2006-09-22,,,,,,12.49
2006-09-29,,,,,,12.87
2006-09-30,0,36101000000,3650000000,31832000000,0.35,
2006-10-06,,,,,,12.93
2006-10-13,,,,,,13.19
2006-10-20,,,,,,13.22
2006-10-27,,,,,,13.19
2006-11-03,,,,,,13.39
2006-11-10,,,,,,13.66
2006-11-17,,,,,,13.75
2006-11-24,,,,,,13.94
2006-12-01,,,,,,13.6
2006-12-08,,,,,,13.75
2006-12-15,,,,,,14.16
2006-12-22,,,,,,13.87
2006-12-29,,,,,,13.99
2006-12-31,0,36634000000,1470000000,28873000000,0.26,
2007-01-05,,,,,,14.68
2007-01-12,,,,,,15.55
2007-01-19,,,,,,15.49
2007-01-26,,,,,,15.24
2007-02-02,,,,,,15.01
2007-02-09,,,,,,14.35
2007-02-16,,,,,,14.21
2007-02-23,,,,,,14.3
2007-03-02,,,,,,13.67
2007-03-09,,,,,,13.41
2007-03-16,,,,,,13.44
2007-03-23,,,,,,13.82
2007-03-30,,,,,,13.73
2007-03-31,0,34973000000,6830000000,28236000000,0.5,
2007-04-06,,,,,,11.87
2007-04-13,,,,,,11.89
2007-04-20,,,,,,12.08
2007-04-27,,,,,,12.59
2007-05-04,,,,,,12.8
2007-05-11,,,,,,12.95
2007-05-18,,,,,,12.92
2007-05-25,,,,,,12.76
2007-06-01,,,,,,12.81
2007-06-08,,,,,,12.56
2007-06-15,,,,,,12.77
2007-06-22,,,,,,12.3
2007-06-29,,,,,,12.29
2007-06-30,0,31097000000,3582000000,23411000000,0.31,
2007-07-06,,,,,,12.58
2007-07-13,,,,,,12.51
2007-07-20,,,,,,13.12
2007-07-27,,,,,,12.31
2007-08-03,,,,,,12.12
2007-08-10,,,,,,12
2007-08-17,,,,,,11.79
2007-08-24,,,,,,12.05
2007-08-31,,,,,,12.01
2007-09-07,,,,,,11.88
2007-09-14,,,,,,12.15
2007-09-21,,,,,,11.98
2007-09-28,,,,,,12.35
2007-09-30,0,32135000000,5368000000,21574000000,0.45,
2007-10-05,,,,,,11.67
2007-10-12,,,,,,11.81
2007-10-19,,,,,,11.81
2007-10-26,,,,,,13.86
2007-11-02,,,,,,14.72
2007-11-09,,,,,,13.31
2007-11-16,,,,,,13.47
2007-11-23,,,,,,13.47
2007-11-30,,,,,,13.26
2007-12-07,,,,,,13.65
2007-12-14,,,,,,13.98
2007-12-21,,,,,,14.3
2007-12-28,,,,,,14.33
2007-12-31,0,34431000000,3872000000,21076000000,0.5,
2008-01-04,,,,,,11.83
2008-01-11,,,,,,11.66
2008-01-18,,,,,,11.32
2008-01-25,,,,,,11.27
2008-02-01,,,,,,10.35
2008-02-08,,,,,,9.66
2008-02-15,,,,,,9.61
2008-02-22,,,,,,9.34
2008-02-29,,,,,,9.16
2008-03-07,,,,,,9.41
2008-03-14,,,,,,9.44
2008-03-21,,,,,,9.89
2008-03-28,,,,,,9.42
2008-03-31,0,37554000000,6323000000,26341000000,0.47,
2008-04-04,,,,,,10.03
2008-04-11,,,,,,9.7
2008-04-18,,,,,,10.35
2008-04-25,,,,,,10.29
2008-05-02,,,,,,10.06
2008-05-09,,,,,,10.12
2008-05-16,,,,,,10.35
2008-05-23,,,,,,9.61
2008-05-30,,,,,,9.71
2008-06-06,,,,,,9.4
2008-06-13,,,,,,10
2008-06-20,,,,,,9.68
2008-06-27,,,,,,9.45
2008-06-30,0,36286000000,2867000000,23662000000,0.46,
2008-07-04,,,,,,8.12
2008-07-11,,,,,,7.87
2008-07-18,,,,,,8.08
2008-07-25,,,,,,8.19
2008-08-01,,,,,,7.92
