Date,MSFT: PE Ratio,MSFT: Market Cap,MSFT: Shares Outstanding,MSFT: Quarterly Accounts Receivable
2005-12-31,,,10384000000,7758000000
2006-01-16,22.66,282340960000,,
2006-01-20,22.01,274241440000,,
2006-01-23,,,10333369000,
2006-01-27,23.16,287164324510,,
2006-02-03,22.95,284580982260,,
2006-02-10,22.24,275797618610,,
2006-02-17,22.25,275900952300,,
2006-02-24,22.19,275177616470,,
2006-03-03,22.44,278277627170,,
2006-03-10,22.64,280757635730,,
2006-03-17,22.92,284167647500,,
2006-03-24,22.51,279104296690,,
2006-03-31,21.6,278222250000,10225000000,6818000000
2006-04-07,21.63,278631250000,,
2006-04-14,21.48,276790750000,,
2006-04-21,21.55,277608750000,,
2006-04-24,,,10201202900,
2006-04-28,19.17,246359050035,,
2006-05-05,18.89,242788629020,,
2006-05-12,18.39,236361871193,,
2006-05-19,17.9,230139137424,,
2006-05-26,18.83,241972532788,,
2006-06-02,18.06,232179378004,,
2006-06-09,17.4,223610367568,,
2006-06-16,17.54,225446584090,,
2006-06-23,17.86,229527065250,,
2006-06-30,19.42,234444600000,10062000000,9316000000
2006-07-07,19.42,234444600000,,
2006-07-14,18.58,224281980000,,
2006-07-21,19.89,240179940000,,
2006-07-28,20.21,244003500000,,
2006-08-04,20.24,244405980000,,
2006-08-11,20.36,245814660000,,
2006-08-18,21.49,257126088522,9969991800,
2006-08-25,21.54,257724288030,,
2006-09-01,21.53,257624588112,,
2006-09-08,21.33,255231790080,,
2006-09-15,22.38,267694279830,,
2006-09-22,22.22,265799981388,,
2006-09-29,22.79,272679275730,,
2006-09-30,,,9820000000,6879000000
2006-10-06,22.12,273683400000,,
2006-10-13,22.52,278593400000,,
2006-10-20,22.56,279182600000,,
2006-10-23,,,9830460100,
2006-10-27,22.49,278595239234,,
2006-11-03,22.8,282429118673,,
2006-11-10,23.21,287442653324,,
2006-11-17,23.33,289015526940,,
2006-11-24,23.62,292554492576,,
2006-12-01,23.11,286262998112,,
2006-12-08,23.33,289015526940,,
2006-12-15,23.96,296781590419,,
2006-12-22,23.52,291374837364,,
2006-12-29,23.7,293537538586,,
2006-12-31,,,9777000000,9895000000
2007-01-05,25.12,289790280000,,
2007-01-12,26.45,305140170000,,
2007-01-19,26.36,304162470000,,
2007-01-22,,,9792314400,
2007-01-26,25.93,299644820640,,
2007-02-02,25.58,295629971736,,
2007-02-09,24.56,283781271312,,
2007-02-16,24.36,281431115856,,
2007-02-23,24.49,282997886160,,
2007-03-02,23.53,271834647744,,
2007-03-09,23.13,267232259976,,
2007-03-16,23.16,267623952552,,
2007-03-23,23.75,274380649488,,
2007-03-30,23.62,272911802328,,
2007-03-31,,,9566808400,8454000000
2007-04-06,20.54,273132379820,,
2007-04-13,20.58,273706388324,,
2007-04-20,20.88,277628779768,,
2007-04-27,21.67,288152269008,,
2007-05-04,21.99,292361664704,,
2007-05-11,22.22,295518711476,,
2007-05-18,22.18,294944702972,,
2007-05-25,21.93,291596320032,,
2007-06-01,22.01,292648668956,,
2007-06-08,21.62,287482592420,,
2007-06-15,21.94,291691988116,,
2007-06-22,21.22,282125179716,,
2007-06-29,21.2,281933843548,,
2007-06-30,,,9375492500,11338000000
2007-07-06,21.11,280983510225,,
2007-07-13,21,279577186350,,
2007-07-20,21.94,292140346300,,
2007-07-27,20.7,275545724575,,
2007-08-03,20.39,271514262800,,
2007-08-10,20.22,269170389675,,
2007-08-17,19.89,264857663125,,
2007-08-24,20.29,270107938925,,
2007-08-31,20.23,269357899525,,
2007-09-07,20.03,266639006700,,
2007-09-14,20.45,272264302200,,
2007-09-21,20.18,268607860125,,
2007-09-28,20.75,276202009050,,
2007-09-30,,,9355438900,8982000000
2007-10-05,19.63,279166296776,,
2007-10-12,19.85,282253591613,,
2007-10-19,19.85,282253591613,,
2007-10-26,23.05,327721024667,,
2007-11-02,24.38,346712565634,,
2007-11-09,22.19,315558954097,,
2007-11-16,22.43,318926912101,,
2007-11-23,22.44,319114020879,,
2007-11-30,22.11,314342747040,,
2007-12-07,22.72,323043305217,,
2007-12-14,23.23,330340547559,,
2007-12-21,23.72,337357126734,,
2007-12-28,23.76,337918453068,,
2007-12-31,,,9329000000,11621000000
2008-01-04,19.53,320731020000,,
2008-01-11,19.27,316346390000,,
2008-01-18,18.76,307950290000,,
2008-01-21,,,9306979700,
2008-01-25,18.72,306571911318,,
2008-02-01,17.3,283397531865,,
2008-02-08,16.23,265807340232,,
2008-02-15,16.15,264504363074,,
2008-02-22,15.73,257617198096,,
2008-02-29,15.45,253149847840,,
2008-03-07,15.84,259385524239,,
2008-03-14,15.89,260223152412,,
2008-03-21,16.58,271577667646,,
2008-03-28,15.86,259757803427,,
2008-03-31,,,9313292800,9871000000
2008-04-04,16.86,271575618048,,
2008-04-11,16.35,263379920384,,
2008-04-18,17.34,279398784000,,
2008-04-25,17.24,277815524224,,
2008-05-02,16.9,272320681472,,
2008-05-09,16.99,273717675392,,
2008-05-16,17.34,279305651072,,
2008-05-23,16.21,261237863040,,
2008-05-30,16.37,263752452096,,
2008-06-06,15.89,256022419072,,
2008-06-13,16.8,270737421696,,
2008-06-20,16.32,262914255744,,
2008-06-27,15.97,257326280064,,
2008-06-30,,,9151000000,13589000000
2008-07-04,13.82,237742980000,,
2008-07-11,13.43,231062750000,,
2008-07-18,13.76,236644860000,,
2008-07-25,13.91,239390160000,,
2008-07-28,,,9130293100,
2008-08-01,13.53,232274656464,,
2008-08-08,14.96,256835144903,,
2008-08-15,14.79,253913451111,,
2008-08-22,14.81,254187359904,,
2008-08-29,14.52,249165698699,,
2008-09-05,13.64,234192018015,,
2008-09-12,14.69,252178695422,,
2008-09-19,13.38,229718174396,,
2008-09-26,14.57,250170030940,,
2008-09-30,,,8895572700,9535000000
2008-10-03,13.78,234131473464,,
2008-10-10,11.26,191254813050,,
2008-10-17,12.53,212871054711,,
2008-10-24,11.5,195346776492,,
2008-10-31,11.69,198638138391,,
2008-11-07,11.26,191254813050,,
2008-11-14,10.5,178445188362,,
2008-11-21,10.3,175064870736,,
2008-11-28,10.59,179868479994,,
2008-12-05,10.4,176755029549,,
2008-12-12,10.14,172218287472,,
2008-12-19,10.01,170083350024,,
2008-12-26,10.02,170172305751,,
2008-12-31,,,,10953000000
2009-01-02,10.81,180846992991,,
2009-01-09,10.38,173641579104,,
2009-01-16,10.48,175331737917,,
2009-01-20,,,8890562900,
2009-01-23,9.15,152917681880,,
2009-01-30,9.1,152028625590,,
2009-02-06,10.46,174788466614,,
2009-02-13,10.15,169720845761,,
2009-02-20,9.57,160030132200,,
2009-02-27,8.59,143582590835,,
2009-03-06,8.13,135847801112,,
2009-03-13,8.86,148027872285,,
2009-03-20,9.07,151673003074,,
2009-03-27,9.64,161185905377,,
2009-03-31,,,8899720000,9182000000
2009-04-03,10.78,166869750000,,
2009-04-10,11.3,175057492400,,
2009-04-17,11.03,170874624000,,
2009-04-24,12.02,186093145200,,
2009-05-01,11.63,180130332800,,
2009-05-08,11.16,172832562400,,
2009-05-15,11.62,179952338400,,
2009-05-22,11.35,175769470000,,
2009-05-29,12.01,185915150800,,
2009-06-05,12.72,197039800800,,
2009-06-12,13.41,207630467600,,
2009-06-19,13.83,214216260400,,
2009-06-26,13.42,207808462000,,
2009-06-30,,,8908000000,11192000000
2009-07-03,14.43,208179960000,,
2009-07-10,13.82,199450120000,,
2009-07-17,14.99,216375320000,,
2009-07-24,14.48,208892600000,,
2009-07-27,,,8910673800,
2009-07-31,14.52,209579047776,,
2009-08-07,14.54,209935474728,,
2009-08-14,14.62,211093862322,,
2009-08-21,15.07,217509547458,,
2009-08-28,15.23,219915429384,,
2009-09-04,15.2,219810011574,8928107700,
2009-09-11,15.35,221952757422,,
2009-09-18,15.59,225524000502,,
2009-09-25,15.77,228113151735,,
2009-09-30,,,8900000000,8587000000
2009-10-02,16.21,222144000000,,
2009-10-09,16.59,227395000000,,
2009-10-16,17.21,235850000000,,
2009-10-19,,,8879121400,
2009-10-23,18.19,248792981628,,
2009-10-30,18.01,246218036422,,
2009-11-06,18.52,253232542328,,
2009-11-13,19.24,263088367082,,
2009-11-20,19.23,262999575868,,
2009-11-27,18.97,259447927308,,
2009-12-04,19.47,266196059572,,
2009-12-11,19.38,265041773790,,
2009-12-18,19.71,269570125704,,
2009-12-25,20.13,275252763400,,
2009-12-31,,,8811000000,11196000000
2010-01-01,16.84,268559280000,,
2010-01-08,16.94,270145260000,,
2010-01-15,17.05,271907460000,,
2010-01-22,16,255166560000,,
2010-01-25,,,8770460900,
2010-01-29,15.57,247151588162,,
2010-02-05,15.48,245748314418,,
2010-02-12,15.43,244958972937,,
2010-02-19,15.9,252326160093,,
2010-02-26,15.84,251449114003,,
2010-03-05,15.8,250747477131,,
2010-03-12,16.17,256711390543,,
2010-03-19,16.35,259517938031,,
2010-03-26,16.39,260131870294,,
2010-03-31,,,8762000000,9137000000
2010-04-02,15.11,255499920000,,
2010-04-09,15.72,265839080000,,
2010-04-16,15.89,268730540000,,
2010-04-19,,,8763839300,
2010-04-23,16.04,271328464728,,
2010-04-30,15.82,267647652222,,
2010-05-07,14.62,247227906653,,
2010-05-14,14.99,253537870949,,
2010-05-21,13.91,235221446812,,
2010-05-28,13.37,226107053940,,
2010-06-04,13.36,226019415547,,
2010-06-11,13.3,224880116438,,
2010-06-18,13.7,231715911092,,
2010-06-25,12.71,214976978029,,
2010-06-30,,,8668000000,13014000000
2010-07-02,11.08,201704360000,,
2010-07-09,11.56,210372360000,,
2010-07-16,11.85,215746520000,,
2010-07-20,,,8653567300,
2010-07-23,12.29,223348572013,,
2010-07-30,12.29,223348572013,,
2010-08-06,12.17,221098644515,,
2010-08-13,11.62,211147042120,,
2010-08-20,11.54,209675935679,,
2010-08-27,11.4,207079865489,,
2010-09-03,11.57,208956048805,8602554500,
2010-09-10,11.36,205170924825,,
2010-09-17,12.01,216956424490,,
2010-09-24,11.8,213171300510,,
2010-09-30,,,8562000000,9646000000
2010-10-01,10.51,208741560000,,
2010-10-08,10.59,210368340000,,
2010-10-15,11.01,218673480000,,
2010-10-22,10.94,217139178816,8555523200,
2010-10-29,11.5,228175803744,,
2010-11-05,11.57,229715797920,,
2010-11-12,11.32,224753594464,,
2010-11-19,11.07,219791391008,,
2010-11-26,10.88,216026960800,,
2010-12-03,11.65,231170236864,,
2010-12-10,11.78,233908004288,,
2010-12-17,12.03,238699097280,,
2010-12-24,12.2,242121306560,,
2010-12-31,11.88,234527730000,8403000000,12874000000
2011-01-07,12.17,240325800000,,
2011-01-14,12.04,237804900000,,
2011-01-21,11.92,235434743640,8402382000,
2011-01-28,11.81,233166100500,,
2011-02-04,11.82,233334148140,,
2011-02-11,11.6,228964909500,,
2011-02-18,11.51,227368456920,,
2011-02-25,11.3,223083242100,,
2011-03-04,11.04,218041812900,,
2011-03-11,10.93,215773169760,,
2011-03-18,10.55,208379073600,,
2011-03-25,10.9,215269026840,,
2011-03-31,,,8431000000,10033000000
2011-04-01,10.15,214821880000,,
2011-04-08,10.39,219796170000,,
2011-04-15,10.11,213894470000,,
2011-04-21,,,8432767300,
2011-04-22,10.17,215204221496,,
2011-04-29,10.33,218577328416,,
2011-05-06,10.31,218155690051,,
2011-05-13,9.97,211072165519,,
2011-05-20,9.76,206518471177,,
2011-05-27,9.86,208795318348,,
2011-06-03,9.53,201627466143,,
2011-06-10,9.45,199940912683,,
2011-06-17,9.67,204578934698,,
2011-06-24,9.68,204916245390,,
2011-06-30,,,8376000000,14987000000
2011-07-01,9.67,217943520000,,
2011-07-08,10.01,225481920000,,
2011-07-15,9.96,224309280000,,
2011-07-20,,,8378265800,
2011-07-22,10.23,230653657474,,
2011-07-29,10.19,229564482920,,
2011-08-05,9.55,215153865744,,
2011-08-12,9.33,210294471580,,
2011-08-19,8.94,201497292490,,
2011-08-26,9.39,211551211450,,
2011-09-02,9.59,217730934300,8439183500,
2011-09-09,9.57,217224583290,,
2011-09-16,10.08,228870656520,,
2011-09-23,9.32,211485938510,,
2011-09-30,9.05,209324900000,8410000000,10153000000
2011-10-07,9.55,220762500000,,
2011-10-14,9.92,229340700000,,
2011-10-17,,,8412182300,
2011-10-21,9.88,228474871268,,
2011-10-28,9.81,226960678454,,
2011-11-04,9.55,220819785375,,
2011-11-11,9.79,226371825693,,
2011-11-18,9.2,212828212190,,
2011-11-25,8.84,204416029890,,
2011-12-02,9.17,212155237606,,
2011-12-09,9.35,216193085110,,
2011-12-16,9.45,218716739800,,
2011-12-23,9.47,218969105269,,
2011-12-30,9.44,218380252508,,
2011-12-31,,,8382000000,13643000000
2012-01-06,10.18,235618020000,,
2012-01-13,10.24,236791500000,,
2012-01-17,,,8390771400,
2012-01-20,10.76,249289818294,,
2012-01-27,10.59,245262248022,,
2012-02-03,10.96,253736927136,,
2012-02-10,11.05,255918527700,,
2012-02-17,11.32,262211606250,,
2012-02-24,11.41,264141483672,,
2012-03-02,11.62,269175946512,,
2012-03-09,11.59,268420777086,,
2012-03-16,11.81,273539147640,,
2012-03-23,11.6,268588592514,,
2012-03-30,11.69,270686285364,,
2012-03-31,,,8400000000,10961000000
2012-04-06,11.46,264768000000,,
2012-04-13,11.2,258804000000,,
2012-04-17,,,8400866100,
2012-04-20,11.79,272356078962,,
2012-04-27,11.63,268659697878,,
2012-05-04,11.27,260258831778,,
2012-05-11,11.33,261770987676,,
2012-05-18,10.64,245893350747,,
2012-05-25,10.57,244129168866,,
2012-06-01,10.35,239004640545,,
2012-06-08,10.78,249085679865,,
2012-06-15,10.92,252194000322,,
2012-06-22,11.16,257906589270,,
2012-06-29,11.12,256982493999,,
2012-06-30,,,8381000000,15780000000
2012-07-06,15.1,253022390000,,
2012-07-13,14.7,246317590000,,
2012-07-18,,,8383396600,
