,2025-06-30,2024-06-30,2023-06-30,2022-06-30
OrdinarySharesNumber,7434158655.0,7434138859.0,7432000000.0,
ShareIssued,7434158655.0,7434138859.0,7432000000.0,
NetDebt,12909000000.0,33315000000.0,12533000000.0,
TotalDebt,60588000000.0,67127000000.0,59965000000.0,
TangibleBookValue,201366000000.0,121660000000.0,128971000000.0,
InvestedCapital,386630000000.0,320107000000.0,253460000000.0,
WorkingCapital,49913000000.0,34448000000.0,80108000000.0,
NetTangibleAssets,201366000000.0,121660000000.0,128971000000.0,
CapitalLeaseObligations,17437000000.0,15497000000.0,12728000000.0,
CommonStockEquity,343479000000.0,268477000000.0,206223000000.0,
TotalCapitalization,383631000000.0,311165000000.0,248213000000.0,
TotalEquityGrossMinorityInterest,343479000000.0,268477000000.0,206223000000.0,
StockholdersEquity,343479000000.0,268477000000.0,206223000000.0,
GainsLossesNotAffectingRetainedEarnings,-3347000000.0,-5590000000.0,-6343000000.0,
OtherEquityAdjustments,-3347000000.0,-5590000000.0,-6343000000.0,
RetainedEarnings,237731000000.0,173144000000.0,118848000000.0,
CapitalStock,109095000000.0,100923000000.0,93718000000.0,
CommonStock,109095000000.0,100923000000.0,93718000000.0,
TotalLiabilitiesNetMinorityInterest,275524000000.0,243686000000.0,205753000000.0,
TotalNonCurrentLiabilitiesNetMinorityInterest,134306000000.0,118400000000.0,101604000000.0,
OtherNonCurrentLiabilities,45186000000.0,27064000000.0,17981000000.0,
TradeandOtherPayablesNonCurrent,25986000000.0,27931000000.0,25560000000.0,
NonCurrentDeferredLiabilities,5545000000.0,5220000000.0,3345000000.0,
NonCurrentDeferredRevenue,2710000000.0,2602000000.0,2912000000.0,
NonCurrentDeferredTaxesLiabilities,2835000000.0,2618000000.0,433000000.0,
LongTermDebtAndCapitalLeaseObligation,57589000000.0,58185000000.0,54718000000.0,
LongTermCapitalLeaseObligation,17437000000.0,15497000000.0,12728000000.0,
LongTermDebt,40152000000.0,42688000000.0,41990000000.0,
CurrentLiabilities,141218000000.0,125286000000.0,104149000000.0,
OtherCurrentLiabilities,25020000000.0,19185000000.0,14745000000.0,
CurrentDeferredLiabilities,64555000000.0,57582000000.0,50901000000.0,
CurrentDeferredRevenue,64555000000.0,57582000000.0,50901000000.0,
CurrentDebtAndCapitalLeaseObligation,2999000000.0,8942000000.0,5247000000.0,
CurrentDebt,2999000000.0,8942000000.0,5247000000.0,
OtherCurrentBorrowings,2999000000.0,2249000000.0,5247000000.0,
CommercialPaper,0.0,6693000000.0,0.0,
PensionandOtherPostRetirementBenefitPlansCurrent,13709000000.0,12564000000.0,11009000000.0,
PayablesAndAccruedExpenses,34935000000.0,27013000000.0,22247000000.0,
Payables,34935000000.0,27013000000.0,22247000000.0,
TotalTaxPayable,7211000000.0,5017000000.0,4152000000.0,
IncomeTaxPayable,7211000000.0,5017000000.0,4152000000.0,
AccountsPayable,27724000000.0,21996000000.0,18095000000.0,
TotalAssets,619003000000.0,512163000000.0,411976000000.0,
TotalNonCurrentAssets,427872000000.0,352429000000.0,227719000000.0,
OtherNonCurrentAssets,40565000000.0,36460000000.0,30601000000.0,
FinancialAssets,272000000.0,0.0,0.0,
InvestmentsAndAdvances,15133000000.0,14600000000.0,9879000000.0,
InvestmentinFinancialAssets,2460000000.0,1500000000.0,0.0,
AvailableForSaleSecurities,2460000000.0,1500000000.0,,
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,,,,
LongTermEquityInvestment,12673000000.0,13100000000.0,9879000000.0,6891000000.0
GoodwillAndOtherIntangibleAssets,142113000000.0,146817000000.0,77252000000.0,
OtherIntangibleAssets,22604000000.0,27597000000.0,9366000000.0,
Goodwill,119509000000.0,119220000000.0,67886000000.0,
NetPPE,229789000000.0,154552000000.0,109987000000.0,
AccumulatedDepreciation,-93653000000.0,-76421000000.0,-68251000000.0,
GrossPPE,323442000000.0,230973000000.0,178238000000.0,
Leases,12117000000.0,9594000000.0,8537000000.0,
OtherProperties,24823000000.0,18961000000.0,14346000000.0,
MachineryFurnitureEquipment,139243000000.0,100312000000.0,81207000000.0,
BuildingsAndImprovements,137921000000.0,93943000000.0,68465000000.0,
LandAndImprovements,9338000000.0,8163000000.0,5683000000.0,
Properties,0.0,0.0,0.0,
CurrentAssets,191131000000.0,159734000000.0,184257000000.0,
OtherCurrentAssets,25723000000.0,26021000000.0,21807000000.0,
HedgingAssetsCurrent,10000000.0,12000000.0,6000000.0,
Inventory,938000000.0,1246000000.0,2500000000.0,
FinishedGoods,,845000000.0,1768000000.0,2516000000.0
WorkInProcess,,7000000.0,23000000.0,82000000.0
RawMaterials,,394000000.0,709000000.0,1144000000.0
Receivables,69905000000.0,56924000000.0,48688000000.0,
AccountsReceivable,69905000000.0,56924000000.0,48688000000.0,
AllowanceForDoubtfulAccountsReceivable,-944000000.0,-830000000.0,-650000000.0,
GrossAccountsReceivable,70849000000.0,57754000000.0,49338000000.0,
CashCashEquivalentsAndShortTermInvestments,94555000000.0,75531000000.0,111256000000.0,
OtherShortTermInvestments,64313000000.0,57216000000.0,76552000000.0,
CashAndCashEquivalents,30242000000.0,18315000000.0,34704000000.0,
CashEquivalents,18531000000.0,6744000000.0,26226000000.0,
CashFinancial,11711000000.0,11571000000.0,8478000000.0,
