,2025-06-30,2024-06-30,2023-06-30,2022-06-30
FreeCashFlow,71611000000.0,74071000000.0,59475000000.0,
RepurchaseOfCapitalStock,-18420000000.0,-17254000000.0,-22245000000.0,
RepaymentOfDebt,-3216000000.0,-29070000000.0,-2750000000.0,
IssuanceOfDebt,0.0,24395000000.0,0.0,
IssuanceOfCapitalStock,2056000000.0,2002000000.0,1866000000.0,
CapitalExpenditure,-64551000000.0,-44477000000.0,-28107000000.0,
EndCashPosition,30242000000.0,18315000000.0,34704000000.0,
BeginningCashPosition,18315000000.0,34704000000.0,13931000000.0,
EffectOfExchangeRateChanges,63000000.0,-210000000.0,-194000000.0,
ChangesInCash,11864000000.0,-16179000000.0,20967000000.0,
FinancingCashFlow,-51699000000.0,-37757000000.0,-43935000000.0,
CashFlowFromContinuingFinancingActivities,-51699000000.0,-37757000000.0,-43935000000.0,
NetOtherFinancingCharges,-2291000000.0,-1309000000.0,-1006000000.0,
CashDividendsPaid,-24082000000.0,-21771000000.0,-19800000000.0,
CommonStockDividendPaid,-24082000000.0,-21771000000.0,-19800000000.0,
NetCommonStockIssuance,-16364000000.0,-15252000000.0,-20379000000.0,
CommonStockPayments,-18420000000.0,-17254000000.0,-22245000000.0,
CommonStockIssuance,2056000000.0,2002000000.0,1866000000.0,
NetIssuancePaymentsOfDebt,-8962000000.0,575000000.0,-2750000000.0,
NetShortTermDebtIssuance,-5746000000.0,5250000000.0,0.0,
ShortTermDebtIssuance,,5250000000.0,0.0,0.0
NetLongTermDebtIssuance,-3216000000.0,-4675000000.0,-2750000000.0,
LongTermDebtPayments,-3216000000.0,-29070000000.0,-2750000000.0,
LongTermDebtIssuance,0.0,24395000000.0,0.0,
InvestingCashFlow,-72599000000.0,-96970000000.0,-22680000000.0,
CashFlowFromContinuingInvestingActivities,-72599000000.0,-96970000000.0,-22680000000.0,
NetOtherInvestingChanges,2317000000.0,-1298000000.0,-3116000000.0,
NetInvestmentPurchaseAndSale,-4387000000.0,17937000000.0,10213000000.0,
SaleOfInvestment,25388000000.0,35669000000.0,47864000000.0,
PurchaseOfInvestment,-29775000000.0,-17732000000.0,-37651000000.0,
NetBusinessPurchaseAndSale,-5978000000.0,-69132000000.0,-1670000000.0,
PurchaseOfBusiness,-5978000000.0,-69132000000.0,-1670000000.0,
NetPPEPurchaseAndSale,-64551000000.0,-44477000000.0,-28107000000.0,
PurchaseOfPPE,-64551000000.0,-44477000000.0,-28107000000.0,
OperatingCashFlow,136162000000.0,118548000000.0,87582000000.0,
CashFlowFromContinuingOperatingActivities,136162000000.0,118548000000.0,87582000000.0,
ChangeInWorkingCapital,-5350000000.0,1824000000.0,-2388000000.0,
ChangeInOtherWorkingCapital,5400000000.0,7035000000.0,5177000000.0,
ChangeInOtherCurrentLiabilities,4947000000.0,5616000000.0,2825000000.0,
ChangeInOtherCurrentAssets,-5994000000.0,-8465000000.0,-4824000000.0,
ChangeInPayablesAndAccruedExpense,569000000.0,3545000000.0,-2721000000.0,
ChangeInPayable,569000000.0,3545000000.0,-2721000000.0,
ChangeInAccountPayable,569000000.0,3545000000.0,-2721000000.0,
ChangeInTaxPayable,,1687000000.0,-358000000.0,696000000.0
ChangeInIncomeTaxPayable,,1687000000.0,-358000000.0,696000000.0
ChangeInInventory,309000000.0,1284000000.0,1242000000.0,
ChangeInReceivables,-10581000000.0,-7191000000.0,-4087000000.0,
ChangesInAccountReceivables,-10581000000.0,-7191000000.0,-4087000000.0,
StockBasedCompensation,11974000000.0,10734000000.0,9611000000.0,
UnrealizedGainLossOnInvestmentSecurities,-536000000.0,-146000000.0,-303000000.0,-509000000.0
AssetImpairmentCharge,943000000.0,206000000.0,30000000.0,101000000.0
DeferredTax,-7056000000.0,-4738000000.0,-6059000000.0,
DeferredIncomeTax,-7056000000.0,-4738000000.0,-6059000000.0,
DepreciationAmortizationDepletion,29433000000.0,20958000000.0,13861000000.0,
DepreciationAndAmortization,29433000000.0,20958000000.0,13861000000.0,
Depreciation,29433000000.0,20958000000.0,13861000000.0,
OperatingGainsLosses,5329000000.0,1634000000.0,469000000.0,
GainLossOnInvestmentSecurities,202000000.0,245000000.0,469000000.0,-1000000.0
NetIncomeFromContinuingOperations,101832000000.0,88136000000.0,72361000000.0,
