,2025-06-30,2024-06-30,2023-06-30
TaxEffectOfUnusualItems,-77217840.76294,-100089983.022071,-2850000.0
TaxRateForCalcs,0.176296,0.182313,0.19
NormalizedEBITDA,155883000000.0,132229000000.0,105155000000.0
TotalUnusualItems,-438000000.0,-549000000.0,-15000000.0
TotalUnusualItemsExcludingGoodwill,-438000000.0,-549000000.0,-15000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,101832000000.0,88136000000.0,72361000000.0
ReconciledDepreciation,29433000000.0,20958000000.0,13861000000.0
ReconciledCostOfRevenue,87831000000.0,74114000000.0,65863000000.0
EBITDA,155445000000.0,131680000000.0,105140000000.0
EBIT,126012000000.0,110722000000.0,91279000000.0
NetInterestIncome,262000000.0,222000000.0,1026000000.0
InterestExpense,2385000000.0,2935000000.0,1968000000.0
InterestIncome,2647000000.0,3157000000.0,2994000000.0
NormalizedIncome,102192782159.23706,88584910016.97794,72373150000.0
NetIncomeFromContinuingAndDiscontinuedOperation,101832000000.0,88136000000.0,72361000000.0
TotalExpenses,153196000000.0,135689000000.0,123392000000.0
TotalOperatingIncomeAsReported,128528000000.0,109433000000.0,88523000000.0
DilutedAverageShares,7465000000.0,7469000000.0,7472000000.0
BasicAverageShares,7433000000.0,7431000000.0,7446000000.0
DilutedEPS,13.64,11.8,9.68
BasicEPS,13.7,11.86,9.72
DilutedNIAvailtoComStockholders,101832000000.0,88136000000.0,72361000000.0
NetIncomeCommonStockholders,101832000000.0,88136000000.0,72361000000.0
NetIncome,101832000000.0,88136000000.0,72361000000.0
NetIncomeIncludingNoncontrollingInterests,101832000000.0,88136000000.0,72361000000.0
NetIncomeContinuousOperations,101832000000.0,88136000000.0,72361000000.0
TaxProvision,21795000000.0,19651000000.0,16950000000.0
PretaxIncome,123627000000.0,107787000000.0,89311000000.0
OtherIncomeExpense,-5163000000.0,-1868000000.0,-238000000.0
OtherNonOperatingIncomeExpenses,-4725000000.0,-1319000000.0,-223000000.0
SpecialIncomeCharges,-943000000.0,-206000000.0,-30000000.0
WriteOff,943000000.0,206000000.0,30000000.0
GainOnSaleOfSecurity,505000000.0,-343000000.0,15000000.0
NetNonOperatingInterestIncomeExpense,262000000.0,222000000.0,1026000000.0
InterestExpenseNonOperating,2385000000.0,2935000000.0,1968000000.0
InterestIncomeNonOperating,2647000000.0,3157000000.0,2994000000.0
OperatingIncome,128528000000.0,109433000000.0,88523000000.0
OperatingExpense,65365000000.0,61575000000.0,57529000000.0
ResearchAndDevelopment,32488000000.0,29510000000.0,27195000000.0
SellingGeneralAndAdministration,32877000000.0,32065000000.0,30334000000.0
SellingAndMarketingExpense,25654000000.0,24456000000.0,22759000000.0
GeneralAndAdministrativeExpense,7223000000.0,7609000000.0,7575000000.0
OtherGandA,7223000000.0,7609000000.0,7575000000.0
GrossProfit,193893000000.0,171008000000.0,146052000000.0
CostOfRevenue,87831000000.0,74114000000.0,65863000000.0
TotalRevenue,281724000000.0,245122000000.0,211915000000.0
OperatingRevenue,281724000000.0,245122000000.0,211915000000.0
