,2025-09-30,2025-06-30,2025-03-31,2024-12-31
OrdinarySharesNumber,7433087554.0,7434158655.0,,
ShareIssued,7433087554.0,7434158655.0,,
NetDebt,14359000000.0,12909000000.0,,
TotalDebt,60556000000.0,60588000000.0,,
TangibleBookValue,222343000000.0,201366000000.0,,
InvestedCapital,406284000000.0,386630000000.0,,
WorkingCapital,54070000000.0,49913000000.0,,
NetTangibleAssets,222343000000.0,201366000000.0,,
CapitalLeaseObligations,17348000000.0,17437000000.0,,
CommonStockEquity,363076000000.0,343479000000.0,,
TotalCapitalization,398452000000.0,383631000000.0,,
TotalEquityGrossMinorityInterest,363076000000.0,343479000000.0,,
StockholdersEquity,363076000000.0,343479000000.0,,
GainsLossesNotAffectingRetainedEarnings,-2761000000.0,-3347000000.0,,
OtherEquityAdjustments,-2761000000.0,-3347000000.0,,
RetainedEarnings,254873000000.0,237731000000.0,,
CapitalStock,110964000000.0,109095000000.0,,
CommonStock,110964000000.0,109095000000.0,,
TotalLiabilitiesNetMinorityInterest,273275000000.0,275524000000.0,,
TotalNonCurrentLiabilitiesNetMinorityInterest,138279000000.0,134306000000.0,,
OtherNonCurrentLiabilities,53588000000.0,45186000000.0,,
TradeandOtherPayablesNonCurrent,26569000000.0,25986000000.0,,
NonCurrentDeferredLiabilities,5398000000.0,5545000000.0,,
NonCurrentDeferredRevenue,2546000000.0,2710000000.0,,
NonCurrentDeferredTaxesLiabilities,2852000000.0,2835000000.0,,
LongTermDebtAndCapitalLeaseObligation,52724000000.0,57589000000.0,,
LongTermCapitalLeaseObligation,17348000000.0,17437000000.0,,
LongTermDebt,35376000000.0,40152000000.0,,
CurrentLiabilities,134996000000.0,141218000000.0,,
OtherCurrentLiabilities,22741000000.0,25020000000.0,,
CurrentDeferredLiabilities,58987000000.0,64555000000.0,,
CurrentDeferredRevenue,58987000000.0,64555000000.0,,
CurrentDebtAndCapitalLeaseObligation,7832000000.0,2999000000.0,,
CurrentDebt,7832000000.0,2999000000.0,,
OtherCurrentBorrowings,,2999000000.0,2999000000.0,5248000000.0
CommercialPaper,,0.0,0.0,0.0
PensionandOtherPostRetirementBenefitPlansCurrent,9201000000.0,13709000000.0,,
PayablesAndAccruedExpenses,36235000000.0,34935000000.0,,
Payables,36235000000.0,34935000000.0,,
TotalTaxPayable,3655000000.0,7211000000.0,,
IncomeTaxPayable,3655000000.0,7211000000.0,,
AccountsPayable,32580000000.0,27724000000.0,,
TotalAssets,636351000000.0,619003000000.0,,
TotalNonCurrentAssets,447285000000.0,427872000000.0,,
OtherNonCurrentAssets,39435000000.0,40565000000.0,,
FinancialAssets,1182000000.0,272000000.0,,
InvestmentsAndAdvances,10283000000.0,15133000000.0,,
InvestmentinFinancialAssets,10283000000.0,2460000000.0,,
AvailableForSaleSecurities,2510000000.0,2460000000.0,,
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,7773000000.0,,,
LongTermEquityInvestment,,12673000000.0,13487000000.0,13304000000.0
GoodwillAndOtherIntangibleAssets,140733000000.0,142113000000.0,,
OtherIntangibleAssets,21236000000.0,22604000000.0,,
Goodwill,119497000000.0,119509000000.0,,
NetPPE,255652000000.0,229789000000.0,,
AccumulatedDepreciation,-98880000000.0,-93653000000.0,,
GrossPPE,354532000000.0,323442000000.0,,
Leases,13610000000.0,12117000000.0,,
OtherProperties,24791000000.0,24823000000.0,,
MachineryFurnitureEquipment,154248000000.0,139243000000.0,,
BuildingsAndImprovements,152433000000.0,137921000000.0,,
LandAndImprovements,9450000000.0,9338000000.0,,
Properties,0.0,0.0,,
CurrentAssets,189066000000.0,191131000000.0,,
OtherCurrentAssets,33030000000.0,25723000000.0,,
HedgingAssetsCurrent,7000000.0,10000000.0,,
Inventory,1130000000.0,938000000.0,,
FinishedGoods,,,508000000.0,557000000.0
WorkInProcess,,,13000000.0,7000000.0
RawMaterials,,,327000000.0,345000000.0
Receivables,52894000000.0,69905000000.0,,
AccountsReceivable,52894000000.0,69905000000.0,,
AllowanceForDoubtfulAccountsReceivable,-687000000.0,-944000000.0,,
GrossAccountsReceivable,53581000000.0,70849000000.0,,
CashCashEquivalentsAndShortTermInvestments,102005000000.0,94555000000.0,,
OtherShortTermInvestments,73156000000.0,64313000000.0,,
CashAndCashEquivalents,28849000000.0,30242000000.0,,
CashEquivalents,17483000000.0,18531000000.0,,
CashFinancial,11366000000.0,11711000000.0,,
