,2025-09-30,2025-06-30
TaxEffectOfUnusualItems,187150000.0,495125.091979
TaxRateForCalcs,0.19,0.165042
NormalizedEBITDA,47075000000.0,44431000000.0
TotalUnusualItems,985000000.0,3000000.0
TotalUnusualItemsExcludingGoodwill,985000000.0,3000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,27747000000.0,27233000000.0
ReconciledDepreciation,13061000000.0,11203000000.0
ReconciledCostOfRevenue,24043000000.0,24014000000.0
EBITDA,48060000000.0,44434000000.0
EBIT,34999000000.0,33231000000.0
NetInterestIncome,278000000.0,154000000.0
InterestExpense,698000000.0,615000000.0
InterestIncome,976000000.0,769000000.0
NormalizedIncome,26949150000.0,27230495125.09198
NetIncomeFromContinuingAndDiscontinuedOperation,27747000000.0,27233000000.0
TotalExpenses,39712000000.0,42118000000.0
TotalOperatingIncomeAsReported,37961000000.0,34323000000.0
DilutedAverageShares,7466000000.0,7461000000.0
BasicAverageShares,7433000000.0,7432000000.0
DilutedEPS,3.72,3.65
BasicEPS,3.73,3.66
DilutedNIAvailtoComStockholders,27747000000.0,27233000000.0
NetIncomeCommonStockholders,27747000000.0,27233000000.0
NetIncome,27747000000.0,27233000000.0
NetIncomeIncludingNoncontrollingInterests,27747000000.0,27233000000.0
NetIncomeContinuousOperations,27747000000.0,27233000000.0
TaxProvision,6554000000.0,5383000000.0
PretaxIncome,34301000000.0,32616000000.0
OtherIncomeExpense,-3938000000.0,-1861000000.0
OtherNonOperatingIncomeExpenses,-4923000000.0,-1864000000.0
SpecialIncomeCharges,-14000000.0,-45000000.0
WriteOff,14000000.0,45000000.0
GainOnSaleOfSecurity,999000000.0,48000000.0
NetNonOperatingInterestIncomeExpense,278000000.0,154000000.0
InterestExpenseNonOperating,698000000.0,615000000.0
InterestIncomeNonOperating,976000000.0,769000000.0
OperatingIncome,37961000000.0,34323000000.0
OperatingExpense,15669000000.0,18104000000.0
ResearchAndDevelopment,8146000000.0,8829000000.0
SellingGeneralAndAdministration,7523000000.0,9275000000.0
SellingAndMarketingExpense,5717000000.0,7285000000.0
GeneralAndAdministrativeExpense,1806000000.0,1990000000.0
OtherGandA,1806000000.0,1990000000.0
GrossProfit,53630000000.0,52427000000.0
CostOfRevenue,24043000000.0,24014000000.0
TotalRevenue,77673000000.0,76441000000.0
OperatingRevenue,77673000000.0,76441000000.0
